"Model","split_num","iter_num","AUC_score"
"RF3",4,1,0.94421906693712
"RF3",5,1,0.886047522457259
"RF3",6,1,0.896261953057085
"RF3",7,1,0.863155607070414
"RF3",8,1,0.884236453201971
"RF3",9,1,0.91161982034193
"RF3",0,2,0.909438079650846
"RF3",1,2,0.872145584911542
"RF3",2,2,0.914075286415712
"RF3",3,2,0.916256157635468
"RF3",4,2,0.800202839756592
"RF3",5,2,0.782707910750507
"RF3",6,2,0.909084323384526
"RF3",7,2,0.928136771950159
"RF3",8,2,0.911185163720661
"RF3",9,2,0.920312952767314
"RF4",0,0,0.95253682487725
"RF4",1,0,0.901332709843348
"RF4",2,0,0.927207544228821
"RF4",3,0,0.882280498406259
"RF4",4,0,0.811359026369168
"RF4",5,0,0.893871341640104
"RF4",6,0,0.924297305128948
"RF4",7,0,0.968559837728195
"RF4",8,0,0.880252100840336
"RF4",9,0,0.893074471167777
"RF4",0,1,0.961343620918089
"RF4",1,1,0.930324994154781
"RF4",2,1,0.935468786532616
"RF4",3,1,0.89792813677195
"RF4",4,1,0.947841205447696
"RF4",5,1,0.923283106345987
"RF4",6,1,0.885250651984932
"RF4",7,1,0.85446247464503
"RF4",8,1,0.940814256737178
"RF4",9,1,0.903288901767604
"RF4",0,2,0.929857376665887
"RF4",1,2,0.895370586859949
"RF4",2,2,0.940456706414153
"RF4",3,2,0.91444508838018
"RF4",4,2,0.785859171254709
"RF4",5,2,0.810199942045784
"RF4",6,2,0.913286004056795
"RF4",7,2,0.935308606201101
"RF4",8,2,0.937192118226601
"RF4",9,2,0.954505940307157
"RF5",0,0,0.978957212999766
"RF5",1,0,0.94700335125867
"RF5",2,0,0.953783804847635
"RF5",3,0,0.896551724137931
"RF5",4,0,0.811721240220226
"RF5",5,0,0.92864387134164
"RF5",6,0,0.957041437264561
"RF5",7,0,0.958707620979426
"RF5",8,0,0.951825557809331
"RF5",9,0,0.898217907852796
"RF5",0,1,0.969838671966332
"RF5",1,1,0.923466604317668
"RF5",2,1,0.932429272854805
"RF5",3,1,0.910388293248334
"RF5",4,1,0.953709069834831
"RF5",5,1,0.939148073022312
"RF5",6,1,0.875181106925529
"RF5",7,1,0.868806143146914
"RF5",8,1,0.939075630252101
"RF5",9,1,0.890683859750797
"RF5",0,2,0.948484139973502
"RF5",1,2,0.899540176135921
"RF5",2,2,0.975372145584912
"RF5",3,2,0.915966386554622
"RF5",4,2,0.813532309475514
"RF5",5,2,0.826716893654013
"RF5",6,2,0.926325702694871
"RF5",7,2,0.95320197044335
"RF5",8,2,0.945015937409446
"RF5",9,2,0.99340770791075
"RF6",0,0,0.92728548047697
"RF6",1,0,0.889018782635804
"RF6",2,0,0.930636739147377
"RF6",3,0,0.882425383946682
"RF6",4,0,0.816864676905245
"RF6",5,0,0.892929585627354
"RF6",6,0,0.923210663575775
"RF6",7,0,0.918791654592872
"RF6",8,0,0.818096203998841
"RF6",9,0,0.863735149232107
"RF6",0,1,0.938820045203024
"RF6",1,1,0.857766347128049
"RF6",2,1,0.891123061335827
"RF6",3,1,0.895030425963489
"RF6",4,1,0.930817154447986
"RF6",5,1,0.895609968125181
"RF6",6,1,0.878223703274413
"RF6",7,1,0.818820631700956
"RF6",8,1,0.886699507389163
"RF6",9,1,0.87097942625326
"RF6",0,2,0.903514924791521
"RF6",1,2,0.888239420154314
"RF6",2,2,0.930247057906632
"RF6",3,2,0.904013329469719
"RF6",4,2,0.788177339901478
"RF6",5,2,0.81356853086062
"RF6",6,2,0.898725007244277
"RF6",7,2,0.893074471167777
"RF6",8,2,0.917125470878006
"RF6",9,2,0.927991886409736
"RF7",0,0,0.955420466058764
"RF7",1,0,0.902190008572987
"RF7",2,0,0.936481957758554
"RF7",3,0,0.898725007244277
"RF7",4,0,0.820704143726456
"RF7",5,0,0.911692263112141
"RF7",6,0,0.951680672268908
"RF7",7,0,0.947841205447696
"RF7",8,0,0.898362793393219
"RF7",9,0,0.885250651984932
"RF7",0,1,0.974982464344166
"RF7",1,1,0.898449068661835
"RF7",2,1,0.936170212765957
"RF7",3,1,0.896696609678354
"RF7",4,1,0.942625325992466
"RF7",5,1,0.921616922631121
"RF7",6,1,0.889017676035932
"RF7",7,1,0.862213851057664
"RF7",8,1,0.932483338162851
"RF7",9,1,0.910026079397276
"RF7",0,2,0.939053853947471
"RF7",1,2,0.890265762606188
"RF7",2,2,0.964772815836646
"RF7",3,2,0.916256157635468
"RF7",4,2,0.789191538684439
"RF7",5,2,0.814111851637207
"RF7",6,2,0.936033033903216
"RF7",7,2,0.938496088090409
"RF7",8,2,0.942625325992466
"RF7",9,2,0.976021443059983
"RF8",0,0,0.966721222040371
"RF8",1,0,0.904138414776713
"RF8",2,0,0.95175746239576
"RF8",3,0,0.895392639814547
"RF8",4,0,0.827586206896552
